year,true_cold_index,cpi_index,true_cold_cumulative_pct,cpi_cumulative_pct,notes
1987,100.0,100.0,0.0,0.0,Base year
1988,106.2,104.1,6.2,4.1,
1989,113.8,109.0,13.8,9.0,
1990,121.4,115.2,21.4,15.2,
1991,126.3,119.0,26.3,19.0,
1992,131.7,122.5,31.7,22.5,
1993,137.2,126.1,37.2,26.1,
1994,142.8,129.2,42.8,29.2,
1995,148.6,132.8,48.6,32.8,
1996,155.3,136.9,55.3,36.9,
1997,161.4,139.9,61.4,39.9,
1998,166.2,142.1,66.2,42.1,
1999,173.8,145.3,73.8,45.3,
2000,183.5,150.3,83.5,50.3,
2001,191.2,154.7,91.2,54.7,
2002,198.4,157.2,98.4,57.2,
2003,206.1,160.8,106.1,60.8,
2004,216.7,165.5,116.7,65.5,
2005,229.3,171.2,129.3,71.2,
2006,243.8,176.6,143.8,76.6,
2007,253.1,181.9,153.1,81.9,
2008,258.4,188.9,158.4,88.9,
2009,254.6,188.0,154.6,88.0,Slight decline in housing
2010,258.9,190.9,158.9,90.9,
2011,268.4,197.8,168.4,97.8,Truflation data begins
2012,281.3,202.9,181.3,102.9,
2013,295.7,207.0,195.7,107.0,
2014,311.5,210.9,211.5,110.9,
2015,322.8,210.8,222.8,110.8,Energy price decline
2016,334.7,214.1,234.7,114.1,
2017,348.3,219.2,248.3,119.2,
2018,363.8,224.9,263.8,124.9,
2019,378.8,229.2,278.8,129.2,
2020,393.1,231.8,293.1,131.8,COVID housing surge begins
2021,425.0,243.2,325.0,143.2,
2022,462.1,263.0,362.1,163.0,Peak inflation year
2023,481.8,278.5,381.8,178.5,
2024,493.0,287.0,393.0,187.0,
2025,430.0,281.0,330.0,181.0,Indexed: 1987=100; cumulative % from base
